model,line,title,subtitle,applications,doorCount,material,screen,payment,software,certifications,image,specs,modules,tasks,source,sourceUrl
PL-Residential-24H,Parcel Delivery Lockers,Winnsen Automatic Residential Smart Parcel Locker,"Electronic delivery locker with touch screen, 24H self-service and monitoring",Residential community / apartment / mailroom,Customizable parcel doors,Cold rolled steel / outdoor coating option,Touch screen,Code / QR / optional card,Remote management / monitoring / notification,CE/FCC/RoHS by market confirmation,,touch screen;24H self-service;monitoring;parcel delivery,cabinet;door module;electronic lock;touch screen;camera;remote platform,确认门数配置表;补齐安装场景图;检查门缝和锁舌一致性,Winnsen 官网 Products,https://www.winnsen.com/products.html
PL-Building-Indoor,Parcel Delivery Lockers,Winnsen Building Indoor Intelligent Parcel Locker,Cold rolled steel self-service cabinet for parcel and mail delivery,Building lobby / office / school / community,Indoor multi-door parcel cabinet,Cold rolled steel,Touch screen / barcode optional,Code / QR,Remote platform / access log,Confirm by destination market,,indoor;parcel;mail delivery;self-service,cabinet;mail doors;barcode/QR;touch screen;admin platform,确认室内安装尺寸;补齐取件流程 UI;整理物业后台字段,Winnsen 官网 Products,https://www.winnsen.com/products.html
LL-Gym-Hotel-24H,Laundry Locker,Winnsen Automatic Laundry Locker 24/7 Self-Service Intelligent Storage Cabinet,Laundry locker with remote management platform for gym and hotel,Gym / hotel / laundry room / hospital,Drop-off and retrieval doors,Cold rolled steel / waterproof option,Touch screen / RFID / printer,Member account / QR / optional card,Remote management platform,Confirm by destination market,,24/7;laundry;remote platform;printer,drop-off door;retrieval door;printer;RFID;touch screen;wiring,确认投递取回双流程;复核打印机维护;检查线束防夹路径,Winnsen 官网 Products,https://www.winnsen.com/products.html
LL-Outdoor-API,Laundry Locker,Winnsen Custom Outdoor Laundry Locker,24/7 unattended service with CleanCloud and DarkPOS integration,Outdoor laundry service / hotel chain / gym,Custom outdoor laundry doors,Outdoor steel enclosure / waterproof design,Touch screen / RFID / printer,Account / QR / third-party payment,CleanCloud / DarkPOS / API integration,Confirm waterproof and electrical requirement,,outdoor;API;CleanCloud;DarkPOS;24/7,outdoor cabinet;printer;RFID;API;touch screen;lock control,确认第三方 API 字段;复核户外防水等级;整理联调任务,Winnsen 官网 Products,https://www.winnsen.com/products.html
FV-24-Bouquets,Flower Vending Machine,Winnsen Large Floor Standing Flower Vending Machine,"24 bouquets capacity, built-in refrigeration and touch screen payment",Shopping mall / airport / hotel / florist self-service,24 bouquets capacity,Refrigerated cabinet / glass display,Android touch screen,QR / card / mobile payment,Inventory / temperature / remote sales record,Cooling and electrical certification by market,,24 bouquets;refrigeration;touch screen;payment,cooling cabinet;glass door;payment module;Android screen;lighting;temperature,确认冷凝水路径;检查玻璃门密封;定义视频镜头和补货流程,Winnsen 官网 Products,https://www.winnsen.com/products.html
FV-Android-Refrigerated,Flower Vending Machine,Winnsen 24-Hour Self-Service Flower Shop,Refrigerated floral bouquet vending machine with Android touchscreen,Flower shop extension / mall / cemetery / hospital,Refrigerated bouquet locker,Cooling cabinet / transparent display window,Android touchscreen,QR / card / contactless payment,Remote ads / inventory / temperature control,CE/FCC and refrigeration requirement by market,,24-hour;refrigerated;Android;bouquet vending,cooling system;glass window;Android screen;payment;remote ads;humidity,补齐温控测试资料;确认花束容量;准备英文视频卖点,Winnsen 官网 Products,https://www.winnsen.com/products.html
RF-Grocery-QR,Refrigerator Locker,QR Coin Bill Parcel Refrigerated Lockers,24 hours refrigerated locker for grocery delivery,Grocery delivery / meat egg / restaurant / office building,Temperature-controlled doors,Refrigerated steel cabinet,7/15 inch or 15.6 inch touch screen by configuration,QR / coin / bill / card optional,Remote control / temperature record / WiFi,Food refrigeration and electrical certification by market,,refrigerated;grocery;QR;temperature control,cooling system;insulated doors;temperature sensor;payment;remote alarm,确认温控范围;补齐断电告警流程;整理冷链安装场景,Winnsen 官网 Products,https://www.winnsen.com/products-p91.html
CS-24-60W,Cell Phone Charging Stations,24 Doors Cell Phone Charging Station,60W USB AC cellphone charging locker,Shopping mall / school / gym / public service area,24 phone charging doors,Steel charging locker cabinet,Control panel / optional touch screen,Coin / QR / optional card,Charging status / timer / remote control optional,Electrical safety by market,,24 doors;60W;USB;AC charging,charging module;door lock;power management;control panel;wiring,确认电气安全;检查散热路径;定义租借/归还 UI,Winnsen 官网 Products,https://www.winnsen.com/products-p42.html
MM-22-Touch,Mini Mart Vending Machine,22 Inch Touch Screen Mini Mart Vending Machine,"Gumball, candy, book, glasses and cupcake vending use",Mini mart / retail / mall / campus,Locker or shelf vending by SKU,Steel cabinet / glass display,22 inch touch screen,Cash / card / QR / mobile payment,Remote network management / sales report,Payment and electrical certification by market,,22 inch;mini mart;remote management;multi SKU,cabinet;shelf/elevator;payment;touch screen;inventory;ads,确认 SKU 尺寸;补齐补货动线;定义库存报警规则,Winnsen 官网 Products,https://www.winnsen.com/products-p53.html
LG-36-Storage,Luggage Lockers,36 Doors Automatic Storage Luggage Lockers,"Storage lockers for gym, swimming pool and water park with steel enclosure",Gym / swimming pool / water park / station,36 storage doors,Steel enclosure,Control panel / touch screen optional,Coin / bill / card / QR optional,Rental timer / access log / remote report,Electrical and payment requirement by market,,36 doors;luggage;storage;rental,storage doors;lock control;payment;timer;admin report;emergency open,确认门格尺寸;补齐租赁计费流程;检查应急开门说明,Winnsen 官网 Products,https://www.winnsen.com/products-p74.html
